pre-fix,question,source,topic,concatenate
"Regarding My Business Account,",Why is this service offered?,https://www.canada.ca/en/revenue-agency/services/e-services/e-services-businesses/business-account/faqs-frequently-asked-questions.html,My Business Account,"Regarding My Business Account,Why is this service offered?"
"Regarding My Business Account,",What account data is displayed on my Account Balance?,https://www.canada.ca/en/revenue-agency/services/e-services/e-services-businesses/business-account/faqs-frequently-asked-questions.html,My Business Account,"Regarding My Business Account,What account data is displayed on my Account Balance?"
"Regarding My Business Account,",Does the Account Balance include amounts in dispute or amounts not yet due?,https://www.canada.ca/en/revenue-agency/services/e-services/e-services-businesses/business-account/faqs-frequently-asked-questions.html,My Business Account,"Regarding My Business Account,Does the Account Balance include amounts in dispute or amounts not yet due?"
"Regarding My Business Account,",Why aren't all of my Period Ends displayed?,https://www.canada.ca/en/revenue-agency/services/e-services/e-services-businesses/business-account/faqs-frequently-asked-questions.html,My Business Account,"Regarding My Business Account,Why aren't all of my Period Ends displayed?"
"Regarding My Business Account,","Is this the balance as of today (i.e., interest is calculated as of today)?",https://www.canada.ca/en/revenue-agency/services/e-services/e-services-businesses/business-account/faqs-frequently-asked-questions.html,My Business Account,"Regarding My Business Account,Is this the balance as of today (i.e., interest is calculated as of today)?"
"Regarding My Business Account,",What are the interest rates on outstanding balances?,https://www.canada.ca/en/revenue-agency/services/e-services/e-services-businesses/business-account/faqs-frequently-asked-questions.html,My Business Account,"Regarding My Business Account,What are the interest rates on outstanding balances?"
"Regarding My Business Account,",Who should I contact if there are discrepancies?,https://www.canada.ca/en/revenue-agency/services/e-services/e-services-businesses/business-account/faqs-frequently-asked-questions.html,My Business Account,"Regarding My Business Account,Who should I contact if there are discrepancies?"
"Regarding My Business Account,",Where can I call for help?,https://www.canada.ca/en/revenue-agency/services/e-services/e-services-businesses/business-account/faqs-frequently-asked-questions.html,My Business Account,"Regarding My Business Account,Where can I call for help?"
"Regarding My Business Account,",How can I get information for tax years prior to the years displayed on my Account Balance?,https://www.canada.ca/en/revenue-agency/services/e-services/e-services-businesses/business-account/faqs-frequently-asked-questions.html,My Business Account,"Regarding My Business Account,How can I get information for tax years prior to the years displayed on my Account Balance?"
"Regarding My Business Account,","If I prefer using this service, can I stop receiving my monthly paper statements?",https://www.canada.ca/en/revenue-agency/services/e-services/e-services-businesses/business-account/faqs-frequently-asked-questions.html,My Business Account,"Regarding My Business Account,If I prefer using this service, can I stop receiving my monthly paper statements?"
"Regarding My Business Account,","When I make a payment to my account, how long will it take to appear on my Account Balance?",https://www.canada.ca/en/revenue-agency/services/e-services/e-services-businesses/business-account/faqs-frequently-asked-questions.html,My Business Account,"Regarding My Business Account,When I make a payment to my account, how long will it take to appear on my Account Balance?"
"Regarding My Business Account,",How do I get more Remittance Vouchers?,https://www.canada.ca/en/revenue-agency/services/e-services/e-services-businesses/business-account/faqs-frequently-asked-questions.html,My Business Account,"Regarding My Business Account,How do I get more Remittance Vouchers?"
"Regarding My Business Account,",What if I need more information than what is displayed on my Account Balance?,https://www.canada.ca/en/revenue-agency/services/e-services/e-services-businesses/business-account/faqs-frequently-asked-questions.html,My Business Account,"Regarding My Business Account,What if I need more information than what is displayed on my Account Balance?"
"Regarding My Business Account,",Can I print the information from my Account Balance?,https://www.canada.ca/en/revenue-agency/services/e-services/e-services-businesses/business-account/faqs-frequently-asked-questions.html,My Business Account,"Regarding My Business Account,Can I print the information from my Account Balance?"
"Regarding My Business Account,",Is the balance information that is displayed considered official Canada Revenue Agency documentation?,https://www.canada.ca/en/revenue-agency/services/e-services/e-services-businesses/business-account/faqs-frequently-asked-questions.html,My Business Account,"Regarding My Business Account,Is the balance information that is displayed considered official Canada Revenue Agency documentation?"
"Regarding My Business Account,",Where can I find definitions of the terminology used on my Account Balance?,https://www.canada.ca/en/revenue-agency/services/e-services/e-services-businesses/business-account/faqs-frequently-asked-questions.html,My Business Account,"Regarding My Business Account,Where can I find definitions of the terminology used on my Account Balance?"
"Regarding My Business Account,",In what situations would GST/HST affect payroll?,https://www.canada.ca/en/revenue-agency/news/cra-multimedia-library/businesses-video-gallery/gst-q-a.html,Business Video Gallery Q&A,"Regarding My Business Account,In what situations would GST/HST affect payroll?"
"Regarding My Business Account,","Is GST charged when invoicing a live out allowance (an LOA)? A mine sells to a contractor, who we have a contract with as a subcontractor. We invoice our services and live out allowances. We have been charging them GST and will send it to the CRA. When working for other contractors, they have sent the GST to the CRA, because they told us it would be considered in lining otherwise. Clarification would be much appreciated.",https://www.canada.ca/en/revenue-agency/news/cra-multimedia-library/businesses-video-gallery/gst-q-a.html,Business Video Gallery Q&A,"Regarding My Business Account,Is GST charged when invoicing a live out allowance (an LOA)? A mine sells to a contractor, who we have a contract with as a subcontractor. We invoice our services and live out allowances. We have been charging them GST and will send it to the CRA. When working for other contractors, they have sent the GST to the CRA, because they told us it would be considered in lining otherwise. Clarification would be much appreciated."
"Regarding My Business Account,","How is GST/HST calculated for an automobile taxable benefit in the auto industry—such as a dealership, for management and salespersons who drive demos throughout the year? Is it a different formula from the normal 5% rate in Alberta?",https://www.canada.ca/en/revenue-agency/news/cra-multimedia-library/businesses-video-gallery/gst-q-a.html,Business Video Gallery Q&A,"Regarding My Business Account,How is GST/HST calculated for an automobile taxable benefit in the auto industry—such as a dealership, for management and salespersons who drive demos throughout the year? Is it a different formula from the normal 5% rate in Alberta?"
"Regarding My Business Account,",Which employee benefits should be charged GST/HST?,https://www.canada.ca/en/revenue-agency/news/cra-multimedia-library/businesses-video-gallery/gst-q-a.html,Business Video Gallery Q&A,"Regarding My Business Account,Which employee benefits should be charged GST/HST?"
"Regarding My Business Account,","What are the GST implications on payroll items that are a reimbursement (with a receipt) versus an allotment (flat amount paid, but no receipt required)?",https://www.canada.ca/en/revenue-agency/news/cra-multimedia-library/businesses-video-gallery/gst-q-a.html,Business Video Gallery Q&A,"Regarding My Business Account,What are the GST implications on payroll items that are a reimbursement (with a receipt) versus an allotment (flat amount paid, but no receipt required)?"
"Regarding My Business Account,",What about Ontario’s 8% tax on insurance? Should that be included in the amount of a taxable benefit? What about in the case of Long term disability insurance?,https://www.canada.ca/en/revenue-agency/news/cra-multimedia-library/businesses-video-gallery/gst-q-a.html,Business Video Gallery Q&A,"Regarding My Business Account,What about Ontario’s 8% tax on insurance? Should that be included in the amount of a taxable benefit? What about in the case of Long term disability insurance?"
"Regarding My Business Account,","When evaluating the amount of a taxable benefit, should GST/HST be included in the amount? Does it make a difference if the employer is a charity not registered for GST/HST, but the charity claims a rebate?",https://www.canada.ca/en/revenue-agency/news/cra-multimedia-library/businesses-video-gallery/gst-q-a.html,Business Video Gallery Q&A,"Regarding My Business Account,When evaluating the amount of a taxable benefit, should GST/HST be included in the amount? Does it make a difference if the employer is a charity not registered for GST/HST, but the charity claims a rebate?"
"Regarding My Business Account,","Is GST/HST applied on monthly, ongoing, taxable benefits for the use of a company vehicle?",https://www.canada.ca/en/revenue-agency/news/cra-multimedia-library/businesses-video-gallery/gst-q-a.html,Business Video Gallery Q&A,"Regarding My Business Account,Is GST/HST applied on monthly, ongoing, taxable benefits for the use of a company vehicle?"
"Regarding My Business Account,","What is the tax treatment on meal benefits? In the cinema industry, we pay a caterer to prepare meals for our technicians. The cost of a caterer is added to the technician’s pay as a taxable benefit. Most of the technicians are employees, but some are self-employed subcontractors.",https://www.canada.ca/en/revenue-agency/news/cra-multimedia-library/businesses-video-gallery/gst-q-a.html,Business Video Gallery Q&A,"Regarding My Business Account,What is the tax treatment on meal benefits? In the cinema industry, we pay a caterer to prepare meals for our technicians. The cost of a caterer is added to the technician’s pay as a taxable benefit. Most of the technicians are employees, but some are self-employed subcontractors."
"Regarding My Business Account,","My employee submitted a gym membership receipt for 50% co-pay reimbursement: $50.00 + $7.50 HST = $57.50. Would my employee's taxable benefit be $28.75, and could the company claim $3.75 HST as an input tax credit?",https://www.canada.ca/en/revenue-agency/news/cra-multimedia-library/businesses-video-gallery/gst-q-a.html,Business Video Gallery Q&A,"Regarding My Business Account,My employee submitted a gym membership receipt for 50% co-pay reimbursement: $50.00 + $7.50 HST = $57.50. Would my employee's taxable benefit be $28.75, and could the company claim $3.75 HST as an input tax credit?"
"Regarding My Business Account,",Are we required to include GST/HST on taxable benefits for retirees based on the province they reside in?,https://www.canada.ca/en/revenue-agency/news/cra-multimedia-library/businesses-video-gallery/gst-q-a.html,Business Video Gallery Q&A,"Regarding My Business Account,Are we required to include GST/HST on taxable benefits for retirees based on the province they reside in?"
"Regarding My Business Account,",Are there any HST implications on non-taxable meal allowances?,https://www.canada.ca/en/revenue-agency/news/cra-multimedia-library/businesses-video-gallery/gst-q-a.html,Business Video Gallery Q&A,"Regarding My Business Account,Are there any HST implications on non-taxable meal allowances?"
"Regarding My Business Account,","I filed my goods and services tax/harmonized sales tax (GST/HST) return, rebate, or election electronically, do I need to send a paper copy?",https://www.canada.ca/en/revenue-agency/services/e-services/e-services-businesses/business-account/answers-common-questions-goods-services-tax-harmonized-sales-tax-accounts.html,Answers to common questions for Goods and Services Tax/Harmonized Sales Tax accounts,"Regarding My Business Account,I filed my goods and services tax/harmonized sales tax (GST/HST) return, rebate, or election electronically, do I need to send a paper copy?"
"Regarding My Business Account,",How do I request direct deposit?,https://www.canada.ca/en/revenue-agency/services/e-services/e-services-businesses/business-account/answers-common-questions-goods-services-tax-harmonized-sales-tax-accounts.html,Answers to common questions for Goods and Services Tax/Harmonized Sales Tax accounts,"Regarding My Business Account,How do I request direct deposit?"
"Regarding My Business Account,",How do I get more remittance vouchers?,https://www.canada.ca/en/revenue-agency/services/e-services/e-services-businesses/business-account/answers-common-questions-goods-services-tax-harmonized-sales-tax-accounts.html,Answers to common questions for Goods and Services Tax/Harmonized Sales Tax accounts,"Regarding My Business Account,How do I get more remittance vouchers?"
"Regarding My Business Account,",How can I correct a payment that was allocated to the wrong period?,https://www.canada.ca/en/revenue-agency/services/e-services/e-services-businesses/business-account/answers-common-questions-goods-services-tax-harmonized-sales-tax-accounts.html,Answers to common questions for Goods and Services Tax/Harmonized Sales Tax accounts,"Regarding My Business Account,How can I correct a payment that was allocated to the wrong period?"
"Regarding My Business Account,",I made an error when filling out my GST/HST return. How can I correct it?,https://www.canada.ca/en/revenue-agency/services/e-services/e-services-businesses/business-account/answers-common-questions-goods-services-tax-harmonized-sales-tax-accounts.html,Answers to common questions for Goods and Services Tax/Harmonized Sales Tax accounts,"Regarding My Business Account,I made an error when filling out my GST/HST return. How can I correct it?"
"Regarding My Business Account,",How do I change my fiscal year?,https://www.canada.ca/en/revenue-agency/services/e-services/e-services-businesses/business-account/answers-common-questions-goods-services-tax-harmonized-sales-tax-accounts.html,Answers to common questions for Goods and Services Tax/Harmonized Sales Tax accounts,"Regarding My Business Account,How do I change my fiscal year?"
"Regarding My Business Account,",I sent in my GST/HST election. Has it been approved?,https://www.canada.ca/en/revenue-agency/services/e-services/e-services-businesses/business-account/answers-common-questions-goods-services-tax-harmonized-sales-tax-accounts.html,Answers to common questions for Goods and Services Tax/Harmonized Sales Tax accounts,"Regarding My Business Account,I sent in my GST/HST election. Has it been approved?"
"Regarding My Business Account,",Who has to make instalments payments?,https://www.canada.ca/en/revenue-agency/services/e-services/e-services-businesses/business-account/answers-common-questions-goods-services-tax-harmonized-sales-tax-accounts.html,Answers to common questions for Goods and Services Tax/Harmonized Sales Tax accounts,"Regarding My Business Account,Who has to make instalments payments?"
"Regarding My Business Account,",How do I calculate my instalments?,https://www.canada.ca/en/revenue-agency/services/e-services/e-services-businesses/business-account/answers-common-questions-goods-services-tax-harmonized-sales-tax-accounts.html,Answers to common questions for Goods and Services Tax/Harmonized Sales Tax accounts,"Regarding My Business Account,How do I calculate my instalments?"
"Regarding My Business Account,",Why was I charged instalment interest?,https://www.canada.ca/en/revenue-agency/services/e-services/e-services-businesses/business-account/answers-common-questions-goods-services-tax-harmonized-sales-tax-accounts.html,Answers to common questions for Goods and Services Tax/Harmonized Sales Tax accounts,"Regarding My Business Account,Why was I charged instalment interest?"
"Regarding My Business Account,",How do I request an access code?,https://www.canada.ca/en/revenue-agency/services/e-services/e-services-businesses/business-account/answers-common-questions-goods-services-tax-harmonized-sales-tax-accounts.html,Answers to common questions for Goods and Services Tax/Harmonized Sales Tax accounts,"Regarding My Business Account,How do I request an access code?"
"Regarding My Business Account,","I am a builder. I sent in Form GST190, GST/HST New Housing Rebate Application for Houses Purchased from a Builder. Why haven’t I received my rebate?",https://www.canada.ca/en/revenue-agency/services/e-services/e-services-businesses/business-account/answers-common-questions-goods-services-tax-harmonized-sales-tax-accounts.html,Answers to common questions for Goods and Services Tax/Harmonized Sales Tax accounts,"Regarding My Business Account,I am a builder. I sent in Form GST190, GST/HST New Housing Rebate Application for Houses Purchased from a Builder. Why haven’t I received my rebate?"
"Regarding Requirement To Pay (RTP),",What is an RTP?,https://www.canada.ca/en/revenue-agency/services/about-canada-revenue-agency-cra/when-you-money-collections-cra/questions-answers-on-requirement-pay.html,Questions and answers on requirements to pay,"Regarding Requirement To Pay (RTP),What is an RTP?"
"Regarding Requirement To Pay (RTP),",Under what statutes can the CRA issue an RTP?,https://www.canada.ca/en/revenue-agency/services/about-canada-revenue-agency-cra/when-you-money-collections-cra/questions-answers-on-requirement-pay.html,Questions and answers on requirements to pay,"Regarding Requirement To Pay (RTP),Under what statutes can the CRA issue an RTP?"
"Regarding Requirement To Pay (RTP),",Why do I have to send money to the CRA instead of the taxpayer?,https://www.canada.ca/en/revenue-agency/services/about-canada-revenue-agency-cra/when-you-money-collections-cra/questions-answers-on-requirement-pay.html,Questions and answers on requirements to pay,"Regarding Requirement To Pay (RTP),Why do I have to send money to the CRA instead of the taxpayer?"
"Regarding Requirement To Pay (RTP),",Can the taxpayer pursue me financially if I send money to the CRA as a result of the RTP?,https://www.canada.ca/en/revenue-agency/services/about-canada-revenue-agency-cra/when-you-money-collections-cra/questions-answers-on-requirement-pay.html,Questions and answers on requirements to pay,"Regarding Requirement To Pay (RTP),Can the taxpayer pursue me financially if I send money to the CRA as a result of the RTP?"
"Regarding Requirement To Pay (RTP),","The RTP tells me to pay any “money,” I would otherwise pay the taxpayer, to the CRA. What is money?",https://www.canada.ca/en/revenue-agency/services/about-canada-revenue-agency-cra/when-you-money-collections-cra/questions-answers-on-requirement-pay.html,Questions and answers on requirements to pay,"Regarding Requirement To Pay (RTP),The RTP tells me to pay any “money,” I would otherwise pay the taxpayer, to the CRA. What is money?"
"Regarding Requirement To Pay (RTP),",I received an RTP. Do I need to tell the taxpayer I received it?,https://www.canada.ca/en/revenue-agency/services/about-canada-revenue-agency-cra/when-you-money-collections-cra/questions-answers-on-requirement-pay.html,Questions and answers on requirements to pay,"Regarding Requirement To Pay (RTP),I received an RTP. Do I need to tell the taxpayer I received it?"
"Regarding Requirement To Pay (RTP),",I received an RTP. How do I respond?,https://www.canada.ca/en/revenue-agency/services/about-canada-revenue-agency-cra/when-you-money-collections-cra/questions-answers-on-requirement-pay.html,Questions and answers on requirements to pay,"Regarding Requirement To Pay (RTP),I received an RTP. How do I respond?"
"Regarding Requirement To Pay (RTP),",I received an RTP. When must I pay the CRA?,https://www.canada.ca/en/revenue-agency/services/about-canada-revenue-agency-cra/when-you-money-collections-cra/questions-answers-on-requirement-pay.html,Questions and answers on requirements to pay,"Regarding Requirement To Pay (RTP),I received an RTP. When must I pay the CRA?"
"Regarding Requirement To Pay (RTP),",How do I calculate the amount I have to pay for situations involving employers and employees for all provinces except Quebec?,https://www.canada.ca/en/revenue-agency/services/about-canada-revenue-agency-cra/when-you-money-collections-cra/questions-answers-on-requirement-pay.html,Questions and answers on requirements to pay,"Regarding Requirement To Pay (RTP),How do I calculate the amount I have to pay for situations involving employers and employees for all provinces except Quebec?"
"Regarding Requirement To Pay (RTP),",How do I calculate the amount I have to pay for the province of Quebec?,https://www.canada.ca/en/revenue-agency/services/about-canada-revenue-agency-cra/when-you-money-collections-cra/questions-answers-on-requirement-pay.html,Questions and answers on requirements to pay,"Regarding Requirement To Pay (RTP),How do I calculate the amount I have to pay for the province of Quebec?"
"Regarding Requirement To Pay (RTP),",How do I calculate the amount I have to pay for situations involving financial institutions?,https://www.canada.ca/en/revenue-agency/services/about-canada-revenue-agency-cra/when-you-money-collections-cra/questions-answers-on-requirement-pay.html,Questions and answers on requirements to pay,"Regarding Requirement To Pay (RTP),How do I calculate the amount I have to pay for situations involving financial institutions?"
"Regarding Requirement To Pay (RTP),",How do I calculate the amount I have to pay?,https://www.canada.ca/en/revenue-agency/services/about-canada-revenue-agency-cra/when-you-money-collections-cra/questions-answers-on-requirement-pay.html,Questions and answers on requirements to pay,"Regarding Requirement To Pay (RTP),How do I calculate the amount I have to pay?"
"Regarding Requirement To Pay (RTP),",How do I pay?,https://www.canada.ca/en/revenue-agency/services/about-canada-revenue-agency-cra/when-you-money-collections-cra/questions-answers-on-requirement-pay.html,Questions and answers on requirements to pay,"Regarding Requirement To Pay (RTP),How do I pay?"
"Regarding Requirement To Pay (RTP),",How long is the RTP in effect?,https://www.canada.ca/en/revenue-agency/services/about-canada-revenue-agency-cra/when-you-money-collections-cra/questions-answers-on-requirement-pay.html,Questions and answers on requirements to pay,"Regarding Requirement To Pay (RTP),How long is the RTP in effect?"
"Regarding Requirement To Pay (RTP),",When do my obligations under the RTP end?,https://www.canada.ca/en/revenue-agency/services/about-canada-revenue-agency-cra/when-you-money-collections-cra/questions-answers-on-requirement-pay.html,Questions and answers on requirements to pay,"Regarding Requirement To Pay (RTP),When do my obligations under the RTP end?"
"Regarding Requirement To Pay (RTP),",Does the CRA pay any costs I incur to comply with the RTP?,https://www.canada.ca/en/revenue-agency/services/about-canada-revenue-agency-cra/when-you-money-collections-cra/questions-answers-on-requirement-pay.html,Questions and answers on requirements to pay,"Regarding Requirement To Pay (RTP),Does the CRA pay any costs I incur to comply with the RTP?"
"Regarding Requirement To Pay (RTP),",What happens if I do not comply with the RTP?,https://www.canada.ca/en/revenue-agency/services/about-canada-revenue-agency-cra/when-you-money-collections-cra/questions-answers-on-requirement-pay.html,Questions and answers on requirements to pay,"Regarding Requirement To Pay (RTP),What happens if I do not comply with the RTP?"
"Regarding Requirement To Pay (RTP),",What if I have already sent a payment when I receive the withdrawal of the RTP?,https://www.canada.ca/en/revenue-agency/services/about-canada-revenue-agency-cra/when-you-money-collections-cra/questions-answers-on-requirement-pay.html,Questions and answers on requirements to pay,"Regarding Requirement To Pay (RTP),What if I have already sent a payment when I receive the withdrawal of the RTP?"
"Regarding Requirement To Pay (RTP),",What if I make a mistake and paid more than I am required to pay?,https://www.canada.ca/en/revenue-agency/services/about-canada-revenue-agency-cra/when-you-money-collections-cra/questions-answers-on-requirement-pay.html,Questions and answers on requirements to pay,"Regarding Requirement To Pay (RTP),What if I make a mistake and paid more than I am required to pay?"
"Regarding Requirement To Pay (RTP),","Can an RTP apply to a house, a car, jewellery, or other non-liquid assets? Do these assets have to be sold to pay the RTP?",https://www.canada.ca/en/revenue-agency/services/about-canada-revenue-agency-cra/when-you-money-collections-cra/questions-answers-on-requirement-pay.html,Questions and answers on requirements to pay,"Regarding Requirement To Pay (RTP),Can an RTP apply to a house, a car, jewellery, or other non-liquid assets? Do these assets have to be sold to pay the RTP?"
